Quarterly return,Quarterly dividend yield
0.0608,0.0032
0.1423,0.0040
0.0876,0.0039
0.2153,0.0044
-0.2126,0.0047
0.0842,0.0054
0.0063,0.0046
0.0371,0.0036
0.1343,0.0053
-0.1476,0.0056
0.0658,0.0048
0.0347,0.0043
-0.0100,0.0042
0.0582,0.0049
0.0409,0.0043
0.0256,0.0046
0.0531,0.0045
0.0347,0.0063
0.0389,0.0048
0.0223,0.0044
0.0047,0.0046
0.0566,0.0056
-0.0774,0.0051
-0.0034,0.0044
0.0132,0.0047
0.0469,0.0053
-0.0048,0.0046
0.0443,0.0041
0.0158,0.0043
0.0952,0.0051
0.0576,0.0049
0.0231,0.0047
0.1052,0.0045
-0.0056,0.0074
0.0572,0.0049
-0.0364,0.0050
0.1243,0.0043
0.1151,0.0056
-0.1568,0.0053
-0.0045,0.0041
0.0592,0.0041
0.1108,0.0054
0.1106,0.0051
-0.1173,0.0051
0.0561,0.0040
0.0517,0.0064
0.1600,0.0046
0.1634,0.0048
-0.1128,0.0070
-0.2329,0.0074
-0.0897,0.0050
-0.0201,0.0049
-0.0990,0.0048
-0.0383,0.0053
0.0113,0.0043
0.0567,0.0038
0.0094,0.0042
0.0653,0.0050
0.0410,0.0040
-0.0238,0.0042
0.0497,0.0040
0.0166,0.0054
0.0354,0.0047
0.0186,0.0034
-0.0275,0.0038
0.0960,0.0067
-0.0216,0.0037
0.0094,0.0035
0.0227,0.0032
0.1193,0.0042
0.0325,0.0036
0.1611,0.0032
-0.0349,0.0038
0.0733,0.0047
-0.1715,0.0039
-0.1292,0.0028
0.0066,0.0028
0.1196,0.0037
-0.1621,0.0033
0.0723,0.0024
